Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.41     20.05    20.05                             app_main
 12.02     27.26     7.21      720    10.02    10.02  example_lvgl_flush_cb
  9.20     32.77     5.52  4043057     0.00     0.00  _lv_img_buf_transform
  7.27     37.13     4.36    95294     0.05     0.05  lv_color_fill
  4.07     39.57     2.44    12548     0.19     0.19  map_normal
  3.65     41.76     2.19     4151     0.53     2.06  lv_draw_sw_img_decoded
  1.91     42.91     1.15   142494     0.01     0.04  fill_normal
  1.82     44.00     1.09   561855     0.00     0.01  get_prop_core
  1.46     44.88     0.88  1071154     0.00     0.00  lv_obj_style_get_selector_state
  1.44     45.74     0.86  1072058     0.00     0.00  lv_obj_style_get_selector_part
  1.14     46.42     0.68   409485     0.00     0.01  lv_obj_get_style_prop
  0.86     46.93     0.51   562834     0.00     0.00  _lv_style_get_prop_group
  0.75     47.39     0.45   433794     0.00     0.00  lv_draw_mask_line
  0.68     47.80     0.41   252280     0.00     0.00  lv_style_get_prop
  0.67     48.20     0.40   400660     0.00     0.00  _lv_area_intersect
  0.64     48.58     0.39   229828     0.00     0.00  line_mask_steep
  0.61     48.95     0.37   333458     0.00     0.00  get_glyph_dsc_id
  0.59     49.31     0.36   356006     0.00     0.00  lv_style_prop_get_default
  0.56     49.64     0.34    12414     0.03     0.16  draw_letter_normal
  0.55     49.97     0.33   156108     0.00     0.06  lv_draw_sw_blend_basic
  0.51     50.27     0.30   312141     0.00     0.00  _lv_refr_get_disp_refreshing
  0.50     50.57     0.30   203966     0.00     0.00  line_mask_flat
  0.50     50.87     0.30   162608     0.00     0.01  lv_font_get_glyph_dsc_fmt_txt
  0.43     51.13     0.26   252468     0.00     0.00  lv_txt_utf8_next
  0.40     51.37     0.24   253846     0.00     0.00  lv_obj_get_event_dsc
  0.40     51.61     0.24   160678     0.00     0.00  lv_obj_event_base
  0.39     51.85     0.24   117914     0.00     0.00  lv_draw_mask_radius
  0.39     52.08     0.23    57116     0.00     0.00  lv_mem_buf_get
  0.39     52.31     0.23   107116     0.00     0.00  lv_obj_event
  0.38     52.54     0.23   282178     0.00     0.00  lv_obj_get_parent
  0.34     52.74     0.21   106860     0.00     0.05  event_send_core
  0.33     52.94     0.20   194280     0.00     0.00  lv_event_get_code
  0.33     53.14     0.20   117940     0.00     0.01  lv_draw_mask_apply
  0.32     53.34     0.19   156109     0.00     0.06  lv_draw_sw_blend
  0.32     53.53     0.19   148037     0.00     0.01  lv_font_get_glyph_width
  0.32     53.72     0.19   129017     0.00     0.00  get_kern_value
  0.30     53.90     0.18   162608     0.00     0.01  lv_font_get_glyph_dsc
  0.30     54.07     0.18    18118     0.01     0.51  draw_bg
  0.29     54.25     0.17   121054     0.00     0.00  lv_trigo_sin
  0.29     54.42     0.17   106860     0.00     0.00  lv_event_send
  0.27     54.58     0.16    11002     0.01     0.05  lv_obj_get_scrollbar_area
  0.26     54.74     0.16   169417     0.00     0.00  lv_obj_has_flag
  0.24     54.89     0.15    74880     0.00     0.00  lv_gradient_calculate
  0.24     55.03     0.15   156667     0.00     0.00  lv_area_move
  0.23     55.17     0.14    22807     0.01     0.35  lv_obj_draw
  0.23     55.30     0.14     5602     0.02     1.48  draw_img
  0.22     55.43     0.13    25971     0.01     0.01  lv_draw_mask_is_any
  0.22     55.57     0.13    89937     0.00     0.00  event_is_bubbled
  0.22     55.70     0.13   156828     0.00     0.00  lv_draw_sw_wait_for_finish
  0.20     55.82     0.12    20896     0.01     0.03  lv_txt_get_next_word
  0.18     55.93     0.11     1625     0.07     1.65  lv_draw_label
  0.18     56.03     0.11     3753     0.03     7.10  lv_refr_obj
  0.17     56.14     0.10    18167     0.01     0.27  lv_label_event
  0.17     56.23     0.10    18118     0.01     0.54  lv_draw_sw_rect
  0.17     56.33     0.10    24760     0.00     0.17  lv_draw_sw_polygon
  0.14     56.42     0.09    83535     0.00     0.00  _lv_txt_encoded_letter_next_2
  0.14     56.50     0.08   107116     0.00     0.00  lv_event_get_current_target
  0.14     56.59     0.08     8869     0.01     0.06  lv_obj_get_scroll_right
  0.14     56.67     0.08   107116     0.00     0.00  lv_indev_get_act
  0.14     56.75     0.08    84843     0.00     0.00  lv_event_get_target
  0.13     56.83     0.08     5193     0.02     0.89  spectrum_draw_event_cb
  0.13     56.91     0.08    28784     0.00     0.01  lv_img_event
  0.12     56.98     0.07     8868     0.01     0.05  lv_obj_get_scroll_bottom
  0.12     57.05     0.07    10648     0.01     0.11  lv_obj_init_draw_rect_dsc
  0.12     57.12     0.07     8753     0.01     0.01  _lv_img_buf_transform_anti_alias
  0.12     57.19     0.07    70566     0.00     0.00  get_cos
  0.11     57.26     0.07    12722     0.01     0.01  lv_draw_rect_dsc_init
  0.10     57.32     0.06    57132     0.00     0.00  lv_mem_buf_release
  0.09     57.38     0.06    50120     0.00     0.00  lv_obj_get_child_cnt
  0.09     57.43     0.06     1642     0.03     1.86  draw_main
  0.09     57.49     0.05    26362     0.00     0.00  lv_draw_mask_line_points_init
  0.09     57.54     0.05     9824     0.01     0.08  _lv_txt_get_next_line
  0.08     57.59     0.05    49520     0.00     0.00  get_sin
  0.08     57.64     0.05    41130     0.00     0.00  lv_event_get_param
  0.08     57.69     0.05     5885     0.01     0.01  _lv_area_is_point_on
  0.08     57.73     0.05    23550     0.00     0.00  _lv_area_is_in
  0.08     57.78     0.05    25783     0.00     0.00  lv_event_get_draw_ctx
  0.08     57.83     0.05    34540     0.00     0.00  lv_draw_mask_add
  0.08     57.87     0.05     7794     0.01     0.10  lv_txt_get_width
  0.07     57.91     0.04    18118     0.00     0.00  draw_border
  0.07     57.96     0.04    18118     0.00     0.00  draw_shadow
  0.07     58.00     0.04    18118     0.00     0.02  draw_bg_img
  0.07     58.04     0.04    19485     0.00     0.00  lv_area_increase
  0.07     58.08     0.04    34540     0.00     0.00  lv_draw_mask_remove_id
  0.07     58.12     0.04     4512     0.01     0.03  _lv_img_cache_open
  0.06     58.16     0.04     8178     0.00     0.01  lv_draw_mask_radius_init
  0.06     58.19     0.04     4512     0.01     0.02  lv_img_decoder_open
